timestamp,x,y,z,roll,pitch,yaw
7.0,1.987509878955959e-17,-2.4386354386238915e-35,0.0,0.0,-0.0,2.3270205159717455e-18
18.5,0.17404720702378076,0.031758353621930455,0.0,0.0,-0.0,0.3323969786391666
19.0,0.37583741626212697,0.13031097962792842,0.0,0.0,-0.0,0.5471560584860644
19.5,0.5559565864202153,0.26444853914089306,0.0,0.0,-0.0,0.7417961680036885
20.0,0.7051063282284522,0.4197949093354936,0.0,0.0,-0.0,0.8567883082714878
20.5,0.8161096809067224,0.5658357956648528,0.0,0.0,-0.0,0.9866110682973993
21.0,0.8958328837093941,0.6972833661110897,0.0,0.0,-0.0,1.0610569754096182
21.5,0.9513620722272379,0.8103186644586353,0.0,0.0,-0.0,1.174496235167769
22.0,0.988022656593674,0.9071084707967955,0.0,0.0,-0.0,1.2365291740740727
22.5,1.0138016721445948,0.9979751680997903,0.0,0.0,-0.0,1.343979996617564
23.0,1.0267481728976444,1.0605872062898727,0.0,0.0,-0.0,1.390892384135923
23.5,1.035407040989129,1.11875980154469,0.0,0.0,-0.0,1.449115523414375
24.0,1.0390715925334246,1.1514792253232446,0.0,0.0,-0.0,1.2981468415743487
24.5,1.039071592520622,1.1514792253053168,0.0,0.0,-0.0,0.8761619209034328
25.0,1.0390715924946503,1.1514792252800874,0.0,0.0,-0.0,0.6784640277085585
25.5,1.0390715924764813,1.151479225266727,0.0,0.0,-0.0,0.5952246234636513
26.5,1.1613717232396816,1.231668699491392,0.0,0.0,-0.0,0.5675526965679188
27.0,1.3525899750706645,1.3502375235333461,0.0,0.0,-0.0,0.5455241435556155
27.5,1.5508635364606682,1.4557810657303096,0.0,0.0,-0.0,0.3724254647734071
28.0,1.7666649156255254,1.51865677422731,0.0,0.0,-0.0,0.2169146003911027
28.5,1.9880119101986462,1.5587879417623745,0.0,0.0,-0.0,0.14767901480637965
29.0,2.2111516313701807,1.5875808723512173,0.0,0.0,-0.0,0.11426476810678904
29.5,2.4349956154347248,1.6102659957050605,0.0,0.0,-0.0,0.08507344269679318
30.0,2.6593756826812047,1.6269073472684308,0.0,0.0,-0.0,0.06519932555016485
30.5,2.883997761666389,1.6399016614762505,0.0,0.0,-0.0,0.049824079375963455
31.0,3.0950318805727695,1.6490931892171543,0.0,0.0,-0.0,0.0374127741490133
31.5,3.2706326666745924,1.654653174026675,0.0,0.0,-0.0,0.024781488135320464
32.0,3.415350437086182,1.655457854273861,0.0,0.0,-0.0,-0.010315580250953076
32.5,3.5344299318370003,1.6530782707485687,0.0,0.0,-0.0,-0.028384819783706963
33.0,3.6323505686825124,1.6498454100995517,0.0,0.0,-0.0,-0.036762601432545006
33.5,3.712856783227505,1.6465843001219524,0.0,0.0,-0.0,-0.04476221629085337
34.0,3.779277369403504,1.6434392661241235,0.0,0.0,-0.0,-0.04943687188105818
34.5,3.8398610216459836,1.6402957007411507,0.0,0.0,-0.0,-0.05466899591937495
36.0,4.023725275528196,1.669043191489772,0.0,0.0,-0.0,0.3644426600597016
36.5,4.212923957970316,1.7887021248797066,0.0,0.0,-0.0,0.7135305307820594
37.0,4.365581669525506,1.9533443609047034,0.0,0.0,-0.0,0.9275477677013654
37.5,4.4888097750292095,2.1414636975175774,0.0,0.0,-0.0,1.0381917462060548
38.0,4.593899595727836,2.340280139708601,0.0,0.0,-0.0,1.1417017116172163
38.5,4.676840005520188,2.5412539955550577,0.0,0.0,-0.0,1.208288189307916
39.0,4.736518959386417,2.709860448716165,0.0,0.0,-0.0,1.2548490339979395
